2010.0,ME,AUSTRALIA,7
2010.0,ME,AUSTRIA,1
2010.0,ME,BELGIUM,8
2010.0,ME,CANADA,2
2010.0,ME,COLOMBIA,2
2010.0,ME,CZECH REPUBLIC,1
2010.0,ME,DENMARK,1
2010.0,ME,ESTONIA,1
2010.0,ME,FRANCE,7
2010.0,ME,GERMANY,4
2010.0,ME,GREAT BRITAIN,2
2010.0,ME,IRELAND,2
2010.0,ME,ITALY,13
2010.0,ME,KAZAKHSTAN,2
2010.0,ME,LUXEMBOURG,2
2010.0,ME,NETHERLANDS,4
2010.0,ME,NEW ZEALAND,1
2010.0,ME,NORWAY,3
2010.0,ME,POLAND,1
2010.0,ME,PORTUGAL,1
2010.0,ME,RUSSIAN FEDERATION,3
2010.0,ME,SLOVAKIA,2
2010.0,ME,SLOVENIA,3
2010.0,ME,SPAIN,17
2010.0,ME,SWITZERLAND,3
2010.0,ME,UNITED STATES OF AMERICA,7
2010.0,WE,AUSTRALIA,9
2010.0,WE,AUSTRIA,1
2010.0,WE,BELGIUM,3
2010.0,WE,BOLIVARIAN REPUBLIC OF VENEZUELA,1
2010.0,WE,CANADA,4
2010.0,WE,CUBA,1
2010.0,WE,ESTONIA,1
2010.0,WE,FRANCE,3
2010.0,WE,GERMANY,9
2010.0,WE,GREAT BRITAIN,5
2010.0,WE,ITALY,10
2010.0,WE,KAZAKHSTAN,1
2010.0,WE,KOREA,1
2010.0,WE,LITHUANIA,6
2010.0,WE,LUXEMBOURG,1
2010.0,WE,NETHERLANDS,16
2010.0,WE,NEW ZEALAND,4
2010.0,WE,RUSSIAN FEDERATION,7
2010.0,WE,SOUTH AFRICA,3
2010.0,WE,SWEDEN,4
2010.0,WE,SWITZERLAND,1
2010.0,WE,UKRAINE,2
2010.0,WE,UNITED STATES OF AMERICA,7
2011.0,ME,AUSTRALIA,5
2011.0,ME,AUSTRIA,1
2011.0,ME,BELARUS,1
2011.0,ME,BELGIUM,12
2011.0,ME,COLOMBIA,1
2011.0,ME,CZECH REPUBLIC,1
2011.0,ME,DENMARK,3
2011.0,ME,FRANCE,4
2011.0,ME,GERMANY,5
2011.0,ME,GREAT BRITAIN,7
2011.0,ME,IRELAND,1
2011.0,ME,ITALY,14
2011.0,ME,KAZAKHSTAN,1
2011.0,ME,LUXEMBOURG,2
2011.0,ME,NETHERLANDS,10
2011.0,ME,NORWAY,2
2011.0,ME,POLAND,1
2011.0,ME,PORTUGAL,2
2011.0,ME,SLOVAKIA,1
2011.0,ME,SLOVENIA,3
2011.0,ME,SPAIN,12
2011.0,ME,SWITZERLAND,4
2011.0,ME,UNITED STATES OF AMERICA,6
2011.0,WE,AUSTRALIA,10
2011.0,WE,BELARUS,1
2011.0,WE,BELGIUM,5
2011.0,WE,CANADA,7
2011.0,WE,CHINESE TAIPEI,1
2011.0,WE,EL SALVADOR,1
2011.0,WE,ESTONIA,1
2011.0,WE,FINLAND,1
2011.0,WE,FRANCE,4
2011.0,WE,GERMANY,7
2011.0,WE,GREAT BRITAIN,4
2011.0,WE,ITALY,8
2011.0,WE,KOREA,1
2011.0,WE,LITHUANIA,1
2011.0,WE,LUXEMBOURG,2
2011.0,WE,NETHERLANDS,14
2011.0,WE,NEW ZEALAND,2
2011.0,WE,NORWAY,1
2011.0,WE,POLAND,1
2011.0,WE,RUSSIAN FEDERATION,9
2011.0,WE,SLOVENIA,1
2011.0,WE,SOUTH AFRICA,2
2011.0,WE,SWEDEN,4
2011.0,WE,THAILAND,1
2011.0,WE,UKRAINE,2
2011.0,WE,UNITED STATES OF AMERICA,9
2012.0,ME,AUSTRALIA,7
2012.0,ME,AUSTRIA,1
2012.0,ME,BELARUS,1
2012.0,ME,BELGIUM,10
2012.0,ME,CANADA,2
2012.0,ME,COLOMBIA,2
2012.0,ME,CROATIA,1
2012.0,ME,CZECH REPUBLIC,1
2012.0,ME,DENMARK,1
2012.0,ME,FRANCE,6
2012.0,ME,GERMANY,4
2012.0,ME,GREAT BRITAIN,4
2012.0,ME,IRELAND,2
2012.0,ME,ITALY,17
2012.0,ME,KAZAKHSTAN,1
2012.0,ME,LUXEMBOURG,1
2012.0,ME,NETHERLANDS,7
2012.0,ME,NORWAY,2
2012.0,ME,POLAND,2
2012.0,ME,PORTUGAL,2
2012.0,ME,RUSSIAN FEDERATION,2
2012.0,ME,SLOVAKIA,1
2012.0,ME,SLOVENIA,2
2012.0,ME,SPAIN,15
2012.0,ME,SWITZERLAND,2
2012.0,ME,UNITED STATES OF AMERICA,4
2012.0,WE,AUSTRALIA,10
2012.0,WE,BELARUS,1
2012.0,WE,BELGIUM,5
2012.0,WE,BOLIVARIAN REPUBLIC OF VENEZUELA,3
2012.0,WE,BRAZIL,2
2012.0,WE,CANADA,3
2012.0,WE,CHINESE TAIPEI,1
2012.0,WE,CUBA,2
2012.0,WE,EL SALVADOR,1
2012.0,WE,ESTONIA,1
2012.0,WE,FRANCE,5
2012.0,WE,GERMANY,8
2012.0,WE,GREAT BRITAIN,4
2012.0,WE,ITALY,13
2012.0,WE,KOREA,1
2012.0,WE,LITHUANIA,1
2012.0,WE,LUXEMBOURG,1
2012.0,WE,MEXICO,1
2012.0,WE,NETHERLANDS,13
